Stats,Round1,Round2,Round3,Round4,Total,player_id
Eagles,0,0,0,0,0,1281599
Birdies,3,6,5,4,18,1281599
Pars,12,10,11,10,43,1281599
Bogeys,3,2,1,4,10,1281599
Double Bogeys,0,0,0,0,0,1281599
Fairways Hit,10,9,7,10,36,1281599
Greens in Regulation,11,12,12,14,49,1281599
Scrambling,71.43,66.67,66.67,50.00,65.22,1281599
Total Putts,"1.34 m4'5"" yd","1.57 m5'2"" yd","1.45 m4'9"" yd","1.31 m4'4"" yd","1.42 m4'8"" yd",1281599
Sand Saves,1,2,1,1,5,1281599
Driving Distance,"231.2 m252.8 yd","224.9 m246.0 yd","224.0 m244.9 yd","218.8 m239.3 yd","224.7 m245.8 yd",1281599
Approach Shot Distance to Pin,"9.39 m30'10"" yd","13 m42'7"" yd","12 m38'10"" yd","9.06 m29'9"" yd","11 m35'6"" yd",1281599
Strokes Gained - Off the Tee,0.720,0.005,-0.938,0.479,0.266,1281599
Strokes Gained - Approach the Green,-0.286,-0.854,0.484,0.345,-0.311,1281599
Strokes Gained - Around the Green,-0.342,2.458,0.767,0.247,3.130,1281599
Strokes Gained - Putting,0.441,1.058,0.221,-2.365,-0.645,1281599
Strokes Gained - Total,0.533,2.667,0.534,-1.294,2.440,1281599
Eagles,0,0,0,0,0,1296243
Birdies,5,0,4,6,15,1296243
Pars,8,12,12,10,42,1296243
Bogeys,3,6,1,2,12,1296243
Double Bogeys,2,0,1,0,3,1296243
Fairways Hit,9,6,11,8,34,1296243
Greens in Regulation,13,9,15,10,47,1296243
Scrambling,20.00,44.44,33.33,75.00,48.00,1296243
Total Putts,"1.26 m4'2"" yd","0.65 m2'2"" yd","0.83 m2'9"" yd","1.75 m5'9"" yd","1.12 m3'8"" yd",1296243
Sand Saves,1,0,0,1,2,1296243
Driving Distance,"229.4 m250.9 yd","227.9 m249.2 yd","227.9 m249.2 yd","226.6 m247.9 yd","227.9 m249.3 yd",1296243
Approach Shot Distance to Pin,"8.80 m28'10"" yd","13 m42'3"" yd","8.91 m29'3"" yd","9.10 m29'10"" yd","9.92 m32'7"" yd",1296243
Strokes Gained - Off the Tee,0.743,-1.411,1.058,0.634,1.024,1296243
Strokes Gained - Approach the Green,1.033,-2.710,0.376,0.753,-0.548,1296243
Strokes Gained - Around the Green,-1.372,-0.110,0.469,-1.403,-2.416,1296243
Strokes Gained - Putting,-1.890,-3.085,-1.376,2.714,-3.637,1296243
Strokes Gained - Total,-1.486,-7.316,0.527,2.698,-5.577,1296243
Eagles,0,1,1,0,2,1303990
Birdies,2,4,1,5,12,1303990
Pars,14,7,15,8,44,1303990
Bogeys,2,5,1,5,13,1303990
Double Bogeys,0,1,0,0,1,1303990
Fairways Hit,7,5,6,6,24,1303990
Greens in Regulation,11,11,12,8,42,1303990
Scrambling,85.71,14.29,100.00,50.00,60.00,1303990
Total Putts,"1.05 m3'5"" yd","1.28 m4'3"" yd","0.96 m3'2"" yd","1.97 m6'6"" yd","1.32 m4'4"" yd",1303990
Sand Saves,2,2,0,1,5,1303990
Driving Distance,"243.4 m266.2 yd","233.5 m255.4 yd","238.4 m260.7 yd","230.5 m252.1 yd","236.6 m258.7 yd",1303990
