Rank,Name,To Par,Today,R1,R2,R3,R4,Total,Country,player_ID
1,KORDA NKORDA Nelly,-17,-2,67,62,69,69,267,USA,1326376
2,INAMI MINAMI Mone,-16,-6,70,65,68,65,268,JPN,1447696
3,KO LKO Lydia,-16,-6,70,67,66,65,268,NZL,1459960
4,ASHOK AASHOK Aditi,-15,-3,67,66,68,68,269,IND,1312000
T5,GREEN HGREEN Hannah,-13,-3,71,65,67,68,271,AUS,1483660
T5,PEDERSEN EKPEDERSEN Emily Kristine,-13,-3,70,63,70,68,271,DEN,1390806
7,MEADOW SMEADOW Stephanie,-12,-5,72,66,68,66,272,IRL,1364609
8,FENG SFENG Shanshan,-11,-4,74,64,68,67,273,CHN,1345208
T9,SASO YSASO Yuka,-10,-6,74,68,67,65,274,PHI,1481184
T9,KIM SYKIM Sei Young,-10,-3,69,69,68,68,274,KOR,1346224
T9,KO JYKO Jin Young,-10,-3,68,67,71,68,274,KOR,1346222
T9,LIN XLIN Xiyu,-10,-3,71,66,69,68,274,CHN,1345280
T9,HATAOKA NHATAOKA Nasa,-10,-2,70,68,67,69,274,JPN,1312869
T9,KOERSTZ MADSEN NKOERSTZ MADSEN Nanna,-10,-2,69,64,72,69,274,DEN,1390805
T15,KORDA JKORDA Jessica,-9,-7,71,67,73,64,275,USA,1326363
T15,HSU WLHSU Wei-Ling,-9,-5,69,69,71,66,275,TPE,1342631
T15,KIM HKIM Hyojoo,-9,-4,70,68,70,67,275,KOR,1346226
T18,VALENZUELA AVALENZUELA Albane,-8,-2,71,69,67,69,276,SUI,1466405
T18,CASTREN MCASTREN Matilda,-8,-1,68,70,68,70,276,FIN,1382305
T20,KANG DKANG Danielle,-7,-6,69,69,74,65,277,USA,1326360
T20,NUUTINEN SNUUTINEN Sanna,-7,-1,70,68,69,70,277,FIN,1343222
T20,SAGSTROM MSAGSTROM Madelene,-7,+1,66,68,71,72,277,SWE,1429174
T23,TAVATANAKIT PTAVATANAKIT Patty,-5,-3,71,71,69,68,279,THA,1468121
T23,FASSI MFASSI Maria,-5,-3,73,70,68,68,279,MEX,1303992
T23,PARK IPARK Inbee,-5,-2,69,70,71,69,279,KOR,1346225
T23,SPILKOVA KSPILKOVA Klara,-5,-2,69,70,71,69,279,CZE,1414375
T23,NORDQVIST ANORDQVIST Anna,-5,-1,72,69,68,70,279,SWE,1429164
T23,MAGUIRE LMAGUIRE Leona,-5,0,71,67,70,71,279,IRL,1281599
T29,CIGANDA CCIGANDA Carlota,-4,-2,68,73,70,69,280,ESP,1352702
T29,LEE MLEE Minjee,-4,-3,71,68,73,68,280,AUS,1483664
T29,DELACOUR PDELACOUR Perrine,-4,0,70,70,69,71,280,FRA,1351272
T29,HENDERSON BHENDERSON Brooke,-4,-4,74,68,71,67,280,CAN,1452618
33,THOMPSON LTHOMPSON Lexi,-3,-2,72,71,69,69,281,USA,1326354
T34,LEE MLEE Min,-2,+1,69,69,72,72,282,TPE,1866829
T34,BOUTIER CBOUTIER Celine,-2,-2,73,68,72,69,282,FRA,1351271
T34,BABNIK PBABNIK Pia,-2,-4,71,71,73,67,282,SLO,1429304
T34,TAN KTAN Kelly,-2,-7,73,73,72,64,282,MAS,1465366
T38,DARQUEA DDARQUEA Daniela,-1,+2,72,73,65,73,283,ECU,1444022
T38,LOPEZ GLOPEZ Gaby,-1,0,71,72,69,71,283,MEX,1303990
T40,EWART SHADOFF JEWART SHADOFF Jodi,0,+1,74,68,70,72,284,GBR,1469359
T40,MASSON CMASSON Caroline,0,+4,71,70,68,75,284,GER,1325738
T40,POPOV SPOPOV Sophia,0,0,71,72,70,71,284,GER,1383869
T43,PAGDANGANAN BPAGDANGANAN Bianca,+1,+3,69,71,71,74,285,PHI,1481212
T43,JUTANUGARN AJUTANUGARN Ariya,+1,+1,77,67,69,72,285,THA,1468275
T43,HADDIOUI MHADDIOUI Maha,+1,-2,72,74,70,69,285,MAR,1344911
T46,de ROEY Mde ROEY Manon,+2,+3,71,67,74,74,286,BEL,1393586
T46,MOLINARO GMOLINARO Giulia,+2,-1,75,71,70,70,286,ITA,1334620
48,TORRES MTORRES Maria,+3,-4,73,77,70,67,287,PUR,1296243
49,SHARP ASHARP Alena,+5,+4,74,71,69,75,289,CAN,1452607
T50,MUNOZ AMUNOZ Azahara,+6,+1,69,76,73,72,290,ESP,1352705
T50,DAGAR DDAGAR Diksha,+6,-1,76,72,72,70,290,IND,1311552
T50,URIBE MURIBE Mariajo,+6,-1,73,77,70,70,290,COL,1380667
T50,CHAN TCHAN Tiffany,+6,-1,77,74,69,70,290,HKG,1419565
54,METRAUX KMETRAUX Kim,+7,+2,74,70,74,73,291,SUI,1466032
55,REID MREID Mel,+8,-3,73,75,76,68,292,GBR,1469355
56,WOLF CWOLF Christine,+13,+2,71,72,81,73,297,AUT,1333770
57,van DAM Avan DAM Anne,+14,+6,74,78,69,77,298,NED,1462881
58,SIMMERMACHER MSIMMERMACHER Magdalena,+16,+5,76,70,78,76,300,ARG,1361296
59,COLOMBOTTO ROSSO LCOLOMBOTTO ROSSO Lucrezia,+18,+7,75,74,75,78,302,ITA,1334619
60,DAFFINRUD TDAFFINRUD Tonje,+25,+3,81,73,81,74,309,NOR,1346285
