Hole,1,2,3,4,5,6,7,8,9,Out,10,11,12,13,14,15,16,17,18,In,Round,player_id
R1,4,4,4,4,4,4,3,5,4,36,3,5,4,4,4,4,4,3,4,35,71,1281599
R2,5,4,4,2,5,3,2,4,4,33,2,5,4,4,5,4,3,4,3,34,67,1281599
R3,3,3,4,3,5,4,2,4,7,35,3,4,5,4,5,4,3,3,4,35,70,1281599
R4,4,4,4,4,6,4,4,5,4,39,3,4,3,3,5,4,2,3,5,32,71,1281599
R1,3,4,5,3,5,6,3,4,6,39,3,4,3,4,6,3,3,5,3,34,73,1296243
R2,4,5,4,4,5,4,4,5,5,40,3,4,5,4,5,4,3,5,4,37,77,1296243
R3,5,4,4,3,4,3,3,5,4,35,3,4,4,4,5,3,2,6,4,35,70,1296243
R4,4,3,4,4,4,3,2,5,4,33,2,4,4,4,4,4,3,4,5,34,67,1296243
R1,4,3,4,3,5,4,3,5,5,36,3,4,4,4,6,3,3,4,4,35,71,1303990
R2,4,5,4,3,5,3,3,3,4,34,4,5,5,4,4,3,4,6,3,38,72,1303990
R3,4,4,4,3,3,3,3,5,4,33,3,4,4,4,5,4,4,4,4,36,69,1303990
R4,4,4,4,4,6,3,3,6,4,38,3,4,5,3,4,4,2,3,5,33,71,1303990
R1,3,4,4,5,5,4,4,5,4,38,3,4,4,4,6,4,3,4,3,35,73,1303992
R2,4,4,4,3,4,3,3,5,4,34,3,4,5,4,5,4,3,4,4,36,70,1303992
R3,4,3,5,3,4,3,3,5,4,34,3,4,4,3,4,4,3,4,5,34,68,1303992
R4,5,4,3,3,5,4,3,5,4,36,2,3,5,5,4,3,3,3,4,32,68,1303992
R1,4,4,4,3,6,4,4,5,5,39,3,4,4,5,5,4,3,4,5,37,76,1311552
R2,4,6,4,3,5,3,3,5,5,38,3,5,4,3,5,3,4,4,3,34,72,1311552
R3,4,4,4,3,5,4,3,5,4,36,3,4,4,3,6,4,3,4,5,36,72,1311552
R4,5,5,4,3,5,4,2,4,4,36,3,5,4,4,4,4,3,3,4,34,70,1311552
R1,4,4,4,3,4,4,3,5,3,34,3,4,4,3,4,4,3,3,5,33,67,1312000
R2,4,3,4,3,5,3,3,5,4,34,3,4,4,4,5,3,3,3,3,32,66,1312000
R3,4,4,4,2,5,3,2,5,5,34,3,5,4,4,5,3,3,3,4,34,68,1312000
R4,4,4,4,3,4,3,3,4,5,34,3,5,4,3,4,4,3,4,4,34,68,1312000
R1,5,4,4,3,5,3,3,4,4,35,4,4,6,4,4,3,2,4,4,35,70,1312869
R2,4,4,4,3,6,4,2,4,3,34,3,4,4,4,5,4,3,3,4,34,68,1312869
R3,5,4,4,3,4,3,4,4,3,34,3,4,4,3,5,4,3,3,4,33,67,1312869
R4,4,4,4,3,5,4,4,4,4,36,3,3,4,4,5,4,3,3,4,33,69,1312869
R1,4,4,4,4,5,4,4,5,4,38,3,4,4,4,4,4,2,3,5,33,71,1325738
R2,4,4,3,3,5,3,3,6,5,36,3,4,5,4,5,3,2,4,4,34,70,1325738
R3,5,4,3,3,4,3,3,5,4,34,2,4,4,3,5,4,3,5,4,34,68,1325738
R4,4,4,4,3,5,5,4,4,5,38,3,5,4,4,5,4,4,4,4,37,75,1325738
R1,4,5,4,4,5,4,4,5,3,38,3,4,4,4,6,3,2,3,5,34,72,1326354
R2,6,5,3,3,5,3,3,5,5,38,3,4,3,3,5,5,3,3,4,33,71,1326354
R3,4,4,4,3,4,4,4,4,4,35,3,3,5,4,5,3,3,3,5,34,69,1326354
R4,5,4,4,3,5,4,3,5,4,37,3,3,4,4,4,4,3,3,4,32,69,1326354
R1,4,4,4,3,5,3,3,4,6,36,3,4,4,4,4,4,3,3,4,33,69,1326360
R2,5,3,4,3,5,4,3,4,4,35,3,4,4,4,5,4,3,3,4,34,69,1326360
R3,4,5,5,4,5,3,3,5,4,38,3,5,5,4,5,4,3,3,4,36,74,1326360
R4,4,4,4,3,5,3,3,4,4,34,4,4,3,3,4,3,3,3,4,31,65,1326360
R1,4,4,4,3,4,4,3,6,4,36,3,3,5,4,5,4,3,4,4,35,71,1326363
R2,4,4,4,3,4,3,3,4,4,33,3,4,4,4,5,3,3,4,4,34,67,1326363
R3,5,5,3,4,5,3,3,4,5,37,2,5,4,4,4,4,3,4,6,36,73,1326363
R4,4,3,4,3,4,3,3,5,4,33,2,3,4,4,4,4,3,3,4,31,64,1326363
R1,4,5,3,4,4,3,3,4,4,34,3,4,4,4,4,3,3,4,4,33,67,1326376
R2,4,4,4,3,4,2,2,4,3,30,3,4,3,3,4,4,2,3,6,32,62,1326376
R3,4,3,4,3,4,3,3,6,4,34,3,4,4,4,5,4,3,4,4,35,69,1326376
R4,4,3,4,3,5,4,5,4,3,35,2,5,4,3,5,4,3,4,4,34,69,1326376
R1,5,4,4,3,5,4,3,5,5,38,3,3,4,3,6,4,2,3,5,33,71,1333770
